user_id,seller_id,prob
2,1679,1.00
2,1784,1.00
2,3552,1.00
3,795,1.00
7,1162,1.00
7,4161,1.00
7,4792,1.00
8,1583,1.00
15,4042,0.80
22,2336,1.00
25,2336,1.00
25,2631,1.00
25,3304,1.00
29,3460,1.00
32,2762,0.80
32,2963,1.00
34,4960,1.00
38,3547,1.00
40,549,0.90
40,4471,0.90
48,1719,1.00
48,3734,0.90
48,3739,1.00
52,141,0.80
56,2082,1.00
56,3083,0.90
57,2668,1.00
57,3828,1.00
58,1103,0.90
58,3235,0.80
58,4272,0.80
72,4356,1.00
83,4708,1.00
90,4043,1.00
98,467,1.00
106,4049,0.90
106,4680,1.00
108,1221,1.00
109,673,0.90
109,3155,1.00
116,427,0.80
119,738,0.80
119,4605,0.80
120,4966,1.00
121,1137,0.80
123,1219,1.00
124,4048,1.00
130,3073,1.00
132,3196,1.00
132,3760,0.80
132,4129,1.00
139,550,0.80
139,4882,1.00
142,2387,1.00
146,2387,0.80
146,3017,0.80
151,4243,1.00
154,1840,1.00
155,800,1.00
156,791,1.00
156,3975,1.00
158,2515,1.00
159,1422,0.80
159,2755,0.90
159,2894,0.80
159,4112,0.80
162,2913,1.00
162,3859,1.00
165,798,0.90
165,2677,1.00
175,1365,0.80
175,1393,0.80
175,1890,1.00
193,333,1.00
196,598,0.80
196,4064,1.00
199,3067,0.90
199,3141,0.90
200,1497,1.00
200,4476,1.00
219,158,0.80
220,638,0.90
232,72,1.00
232,4538,0.90
233,3350,0.90
233,3414,1.00
237,2802,0.90
237,4705,1.00
241,1224,1.00
241,3491,1.00
242,1523,1.00
250,3411,1.00
260,3395,0.80
260,4538,0.80
269,1663,1.00
273,2935,0.90
284,1242,1.00
284,1556,1.00
285,43,1.00
287,461,0.90
287,2711,1.00
287,3107,1.00
297,1266,1.00
297,2794,1.00
297,3163,0.90
297,4316,0.90
305,863,1.00
305,4079,1.00
307,365,1.00
307,3854,1.00
308,3170,0.80
309,2020,1.00
310,422,1.00
311,72,0.80
311,1736,1.00
311,2173,0.80
311,4868,1.00
313,3926,1.00
316,372,1.00
316,673,1.00
320,2429,1.00
323,1340,0.90
325,3786,1.00
330,665,1.00
330,4257,1.00
348,729,0.90
351,920,0.80
351,1781,1.00
351,4401,1.00
351,4555,1.00
351,4883,1.00
368,4646,1.00
378,3643,1.00
379,3663,0.80
393,1364,1.00
398,521,1.00
398,3491,1.00
404,798,1.00
404,3061,1.00
404,4118,1.00
414,1892,1.00
414,2698,0.90
421,1257,1.00
434,2312,1.00
434,3760,1.00
434,4760,0.80
435,141,1.00
435,1454,1.00
435,3388,0.90
435,3990,1.00
436,524,0.80
439,34,0.90
439,2802,1.00
439,4705,0.90
440,2099,0.90
440,4514,1.00
440,4993,0.90
442,4192,0.80
448,1760,0.90
448,4170,1.00
450,4064,1.00
450,4773,1.00
459,503,0.90
459,2591,1.00
459,3859,1.00
466,2062,1.00
466,2146,0.90
466,2912,0.80
466,3828,0.90
466,3910,1.00
470,4650,1.00
474,1256,1.00
483,1840,1.00
483,4642,1.00
485,2526,1.00
502,219,1.00
511,173,0.80
511,1250,1.00
511,4047,1.00
514,1966,0.80
517,33,0.80
517,4752,0.80
519,4079,1.00
523,4973,1.00
525,4444,1.00
529,3173,0.90
538,2813,1.00
549,629,0.80
549,2029,1.00
551,1150,1.00
552,4282,1.00
558,2856,0.80
560,63,1.00
560,66,0.90
560,610,1.00
563,3627,0.80
564,1480,1.00
568,3191,1.00
574,789,1.00
581,1256,1.00
585,4770,1.00
601,791,1.00
601,4261,1.00
609,2225,0.70
623,2084,1.00
630,897,0.90
